path,elapsed_s,E_x,E_y,E_z,G_yz,G_xz,G_xy,nu_xy,nu_xz,nu_yz,A_zener,K_voigt,C_xx_xx,C_xx_yy,C_xx_zz,C_xx_yz,C_xx_xz,C_xx_xy,C_yy_yy,C_yy_zz,C_yy_yz,C_yy_xz,C_yy_xy,C_zz_zz,C_zz_yz,C_zz_xz,C_zz_xy,C_yz_yz,C_yz_xz,C_yz_xy,C_xz_xz,C_xz_xy,C_xy_xy,converged,max_iters_used
structures/attd/VF=0.02175_time=20251120_171900_903540_stretch_axis-z.npy,1253.3,0.761588480866606,0.7615884808666873,1.2641455193711724,0.365550807711434,0.3655508077114279,0.29776400550965,0.3544033449938345,0.2487513912078362,0.2487513912078191,1.059082657494637,0.9079961239039904,1.1462400130415695,0.583934490327685,0.7143846635590884,-2.0975896367934207e-07,-1.4418897623856965e-06,-7.628682199408525e-05,1.1462400130416617,0.7143846635590804,-1.4418897617252636e-06,-2.0975896368585853e-07,-7.628682199409358e-05,1.854077454160975,-1.4137524332174453e-06,-1.4137524317017755e-06,-2.058098964012345e-05,0.3655508084691212,-1.6614312180644132e-05,-3.505322480108698e-08,0.3655508084691151,-3.505322480345076e-08,0.2977640136598659,True,120
structures/attd/VF=0.022986328125_time=20251120_161649_066218_stretch_axis-z.npy,1257.1,0.7622355541752063,0.7619877372231165,1.2223485063384498,0.3633128342463291,0.3631799726668632,0.2999331183577151,0.3546735257220841,0.254317047014559,0.2511930251284353,1.0629282050100155,0.8958522876460524,1.148454385217243,0.5838598801307298,0.7043421746876614,0.0018199206095677,0.0088087720649834,7.713669072087126e-05,1.1447133447971358,0.6995062949320542,0.0040915249565158,-3.9334588014024265e-05,-0.0005542536962349,1.7940861592992017,0.0137881787636097,0.0300705565405947,-2.317412259038596e-05,0.3635715110901626,0.0011293876851824,-0.0063883288028169,0.3638658920094346,-0.0024099238149019,0.3000617119250628,True,120
structures/attd/VF=0.0288515625_time=20251121_150056_380550_stretch_axis-z.npy,1281.4,1.6053449229483765,1.6294935997271658,1.7680680404936313,0.2943044551553823,0.2943525536503332,0.2896127356576277,0.2353176801738216,0.2121217322606594,0.2122846067454288,0.4475744883358343,1.0174367869236278,1.8574844540829207,0.563340880450225,0.5637099048996006,5.693378056733735e-05,0.0003264014575572,-1.2657141221214696e-06,1.884118740403954,0.5655926622516753,0.0002952517155029,-5.109046892163304e-05,8.088513998837461e-05,2.0300409926227743,-3.827482843176732e-05,0.0001302733749535,-4.7799585660605056e-05,0.2943046050769486,-0.0001313367104887,-0.0001027174943627,0.294352731995752,0.0001164612536997,0.289612823900881,True,123
structures/attd/VF=0.035603515625_time=20251120_171754_978781_stretch_axis-z.npy,1296.1,0.791551695980118,0.7915387325844909,1.5998615774898404,0.4133932384939145,0.4127649324344571,0.3200476764004106,0.3656452830975993,0.2251886225991506,0.2249989517357795,1.1043629142029958,1.0449187424518045,1.2114807639985778,0.6317359207695344,0.8388506250745921,-0.0005221551619754,-0.0022081157816784,-0.0070393198047905,1.2112323953119022,0.8385163903773317,-0.0019486136498694,-0.0003472881831794,-0.0071544096032173,2.3633496503128426,-0.0060781739735666,-0.0061635529154926,-0.0121616510445847,0.4134901371188766,0.0056291661024206,0.0007908088507018,0.4128619023506898,0.0003737035110739,0.3201243522812926,True,124
structures/attd/VF=0.035794921875_time=20251120_161442_603943_stretch_axis-z.npy,1307.7,0.7930180160990841,0.7925655506964628,1.5984234643554418,0.4146473895395197,0.4133238059070029,0.3212474683024992,0.3660251991649531,0.2256275132972104,0.2250101006838826,1.1057900679767516,1.0459056184548052,1.214290478028907,0.633117085638135,0.839935448214158,-0.0021629839779896,0.00680711257234,0.0042880982408553,1.212867837523563,0.8386278970288297,-0.0056656457267384,0.0012068105726415,0.0039270127586463,2.36263138877853,-0.0200329376950966,0.0203279120540469,0.007045658508982,0.4149338741043789,-0.0047005317540005,-0.0036693148006149,0.4136219611634097,0.0032167279824157,0.3213278825390356,True,123
structures/attd/VF=0.035859375_time=20251120_161030_088388_stretch_axis-z.npy,1297.8,0.7936187798396765,0.7926297786562483,1.5994125150754486,0.4152637663337996,0.4138320436899025,0.32104418969283,0.3659688121825391,0.2244016945177668,0.2258925390273134,1.1060440930424007,1.0452274656157887,1.212983862960522,0.6323215330089322,0.8374541757543564,0.0002312930263297,0.0095504958740292,-0.000762342804514,1.2132601150494722,0.8391270244144017,-8.036525037938173e-05,0.0018908148364684,-0.0005168339405598,2.3629977461767244,-0.0018361306782818,0.033662384935975,-0.0038578898741638,0.4153607340010671,0.0016834607278256,-0.0052967149841931,0.4144314978489899,3.848039827235518e-05,0.3211190700475966,True,123
structures/attd/VF=0.036296875_time=20251120_154519_901664_stretch_axis-z.npy,1300.5,0.794692516265768,0.7951018559740711,1.5887983434280106,0.4152004638681736,0.4156460200299766,0.3227446031581944,0.3662048563286328,0.2259514513446011,0.2258168598704278,1.109750649664716,1.0430348725244043,1.215788850425719,0.6340898817187733,0.835816775880469,-0.0005792468000802,-0.009463118919907,0.0011100217550003,1.21603048401532,0.8354366504763115,-0.002476402287146,-0.0047341244801224,0.0008963776053594,2.344807902127494,-0.008619725192992,-0.0265290762924583,0.0034604883915739,0.4152608781563534,-0.0010895836152245,0.0024225742845424,0.415985671058126,0.0015684413438835,0.3227704042159141,True,123
structures/attd/VF=0.036787109375_time=20251120_153929_308300_stretch_axis-z.npy,1285.3,0.8002334933549653,0.7990388373424525,1.576954567696139,0.4196595614453495,0.4179794477218003,0.3262228745423879,0.3673466352938173,0.2264768279688892,0.2256450804510117,1.113519951621985,1.038506172354975,1.221469569316099,0.6348726368434283,0.8293814913352912,0.0002859074643619,-0.0128483837001589,-0.0117543526213408,1.2186726962543315,0.8274854459873617,0.0114012972056642,-0.0025900193854763,-0.0101646850797658,2.322934137292182,0.0374965509031032,-0.0431370914675164,-0.0188013170683372,0.420729817370584,0.0068344359022085,0.0062666129067089,0.4192094185839436,-0.0056085071524314,0.3265936939342865,True,122
structures/attd/VF=0.0377578125_time=20251120_165117_755737_stretch_axis-z.npy,1308.7,0.8121390172058599,0.8054160345264516,1.544173626695834,0.4208830398723677,0.4145955457928932,0.3323024115039278,0.3682457727984221,0.2272182413931296,0.2308700833350781,1.1212359906930274,1.0326300119840532,1.233122384654184,0.6392326303765652,0.8175263681904962,-0.0060358733618286,0.0055700219622847,-0.0148736904282203,1.229241135671983,0.8233396442779245,-0.017688448195123,0.0027780835568433,-0.0173135869435945,2.2711093018403408,-0.0548555331771707,0.0256758061611545,-0.0330569364752268,0.423046555428746,0.0152617975421437,-0.0014456963388167,0.4156822862955539,0.0065859016323302,0.3329452834999522,True,122
structures/attd/VF=0.03819921875_time=20251120_161647_313969_stretch_axis-z.npy,1260.9,0.8140103219699003,0.8139093699374548,1.5273183811797268,0.4294661729752499,0.4279816047270996,0.3287995174822227,0.3616733256971149,0.2290522925793942,0.2330326590676084,1.1042870535300346,1.0206301401569888,1.2276222393929062,0.630983595569586,0.8045890495663888,0.0059235884077179,-0.0155736090703818,-0.0203909800830683,1.2313669710318786,0.8108765567088563,-0.0127272313429674,-0.0005700990268897,-0.0149886045009754,2.2337836472984525,-0.036051034195597,-0.0405481408251627,-0.0217321792138552,0.4309097704863037,0.0138785305894116,0.0024785567588473,0.4296911251765436,0.0103582120615182,0.3294301650049049,True,121
